customerName,exp,productName
"L'ordine Souveniers",145.04,"1969 Corvair Monza"
"Québec Home Shopping Network",144.79,"1962 LanciaA Delta 16V"
"Baane Mini Imports",144.60,"2002 Suzuki XREO"
"Euro+ Shopping Channel",144.60,"2002 Suzuki XREO"
Toys4GrownUps.com,144.50,"1917 Grand Touring Sedan"
"Blauer See Auto, Co.",144.05,"1976 Ford Gran Torino"
"Danish Wholesale Imports",144.05,"1976 Ford Gran Torino"
"Toys of Finland, Co.",143.94,"1992 Ferrari 360 Spider red"
"Canadian Gift Exchange Network",143.94,"1992 Ferrari 360 Spider red"
"Suominen Souveniers",143.94,"1992 Ferrari 360 Spider red"
"Suominen Souveniers",143.62,"1970 Triumph Spitfire"
"Diecast Collectables",143.62,"1970 Triumph Spitfire"
"Oulu Toy Supplies, Inc.",143.50,"1980s Black Hawk Helicopter"
"Stylish Desk Decors, Co.",143.50,"1980s Black Hawk Helicopter"
"Australian Collectables, Ltd",143.44,"1928 Mercedes-Benz SSK"
"Mini Auto Werke",143.31,"1962 LanciaA Delta 16V"
"Corporate Gift Ideas Co.",142.85,"1957 Corvette Convertible"
"Muscle Machine Inc",142.45,"1998 Chrysler Plymouth Prowler"
"Vitachrome Inc.",142.45,"1998 Chrysler Plymouth Prowler"
FunGiftIdeas.com,142.25,"1995 Honda Civic"
"Blauer See Auto, Co.",142.18,"1970 Triumph Spitfire"
"Osaka Souveniers Co.",141.92,"1980s Black Hawk Helicopter"
"Gift Ideas Corp.",141.92,"1980s Black Hawk Helicopter"
"Scandinavian Gift Ideas",141.92,"1980s Black Hawk Helicopter"
"Danish Wholesale Imports",141.88,"1969 Ford Falcon"
"La Corne D'abondance, Co.",141.88,"1969 Ford Falcon"
"Canadian Gift Exchange Network",141.83,"1962 LanciaA Delta 16V"
"Online Diecast Creations Co.",141.83,"1962 LanciaA Delta 16V"
"Scandinavian Gift Ideas",141.83,"1962 LanciaA Delta 16V"
"Herkku Gifts",141.75,"1928 Mercedes-Benz SSK"
"Auto Associés & Cie.",141.75,"1928 Mercedes-Benz SSK"
"Daedalus Designs Imports",141.58,"2002 Suzuki XREO"
"Down Under Souveniers, Inc",141.58,"2002 Suzuki XREO"
"Corporate Gift Ideas Co.",141.10,"1917 Grand Touring Sedan"
"The Sharp Gifts Warehouse",141.10,"1917 Grand Touring Sedan"
"Land of Toys Inc.",140.81,"1998 Chrysler Plymouth Prowler"
"Classic Legends Inc.",140.81,"1998 Chrysler Plymouth Prowler"
"Diecast Collectables",140.81,"1998 Chrysler Plymouth Prowler"
"Muscle Machine Inc",140.75,"1970 Triumph Spitfire"
"L'ordine Souveniers",140.75,"1970 Triumph Spitfire"
"Classic Legends Inc.",140.75,"1970 Triumph Spitfire"
"La Rochelle Gifts",140.55,"1992 Ferrari 360 Spider red"
"Men 'R' US Retailers, Ltd.",140.55,"1992 Ferrari 360 Spider red"
"Diecast Collectables",140.55,"1992 Ferrari 360 Spider red"
"Muscle Machine Inc",140.50,"1969 Corvair Monza"
"Suominen Souveniers",140.50,"1969 Corvair Monza"
GiftsForHim.com,140.50,"1969 Corvair Monza"
"Euro+ Shopping Channel",140.43,"1956 Porsche 356A Coupe"
giftsbymail.co.uk,140.34,"1980s Black Hawk Helicopter"
"Tokyo Collectables, Ltd",140.15,"1969 Ford Falcon"
"Online Diecast Creations Co.",140.12,"1993 Mazda RX-7"
Toys4GrownUps.com,140.06,"1928 Mercedes-Benz SSK"
"Rovelli Gifts",140.06,"1928 Mercedes-Benz SSK"
"Gift Depot Inc.",139.87,"1948 Porsche Type 356 Roadster"
"UK Collectables, Ltd.",139.87,"1948 Porsche Type 356 Roadster"
"Vida Sport, Ltd",139.87,"1948 Porsche Type 356 Roadster"
"Cruz & Sons Co.",139.87,"1957 Corvette Convertible"
"Mini Gifts Distributors Ltd.",139.64,"1976 Ford Gran Torino"
"Volvo Model Replicas, Co",139.64,"1976 Ford Gran Torino"
"Online Mini Collectables",139.64,"1976 Ford Gran Torino"
"Extreme Desk Decorations, Ltd",139.64,"1976 Ford Gran Torino"
"Heintze Collectables",139.41,"1995 Honda Civic"
"L'ordine Souveniers",139.41,"1995 Honda Civic"
"Mini Classics",139.17,"1998 Chrysler Plymouth Prowler"
"L'ordine Souveniers",139.17,"1998 Chrysler Plymouth Prowler"
"Mini Gifts Distributors Ltd.",139.03,"1956 Porsche 356A Coupe"
"Toms Spezialitäten, Ltd",139.03,"1956 Porsche 356A Coupe"
"Motor Mint Distributors Inc.",139.03,"1956 Porsche 356A Coupe"
"Mini Gifts Distributors Ltd.",138.88,"1962 LanciaA Delta 16V"
"Corporate Gift Ideas Co.",138.88,"1962 LanciaA Delta 16V"
"Toys of Finland, Co.",138.77,"1980s Black Hawk Helicopter"
FunGiftIdeas.com,138.45,"1948 Porsche Type 356 Roadster"
"Australian Collectors, Co.",138.38,"1928 Mercedes-Benz SSK"
"Motor Mint Distributors Inc.",137.98,"1995 Honda Civic"
"Euro+ Shopping Channel",137.88,"1970 Triumph Spitfire"
GiftsForHim.com,137.88,"1970 Triumph Spitfire"
"Down Under Souveniers, Inc",137.70,"1917 Grand Touring Sedan"
"Vida Sport, Ltd",137.62,"1956 Porsche 356A Coupe"
FunGiftIdeas.com,137.62,"1956 Porsche 356A Coupe"
"Down Under Souveniers, Inc",137.53,"1998 Chrysler Plymouth Prowler"
"Collectable Mini Designs Co.",137.19,"1980s Black Hawk Helicopter"
"Norway Gifts By Mail, Co.",137.19,"1980s Black Hawk Helicopter"
"Royale Belge",137.19,"1980s Black Hawk Helicopter"
"Double Decker Gift Stores, Ltd",137.19,"1980s Black Hawk Helicopter"
"Vitachrome Inc.",137.17,"1992 Ferrari 360 Spider red"
"Marseille Mini Autos",137.17,"1992 Ferrari 360 Spider red"
"Online Diecast Creations Co.",137.17,"1992 Ferrari 360 Spider red"
"L'ordine Souveniers",137.17,"1992 Ferrari 360 Spider red"
"Herkku Gifts",137.04,"1948 Porsche Type 356 Roadster"
"Norway Gifts By Mail, Co.",137.04,"1948 Porsche Type 356 Roadster"
"Toms Spezialitäten, Ltd",136.90,"1957 Corvette Convertible"
"Australian Collectors, Co.",136.70,"1976 Ford Gran Torino"
"Anna's Decorations, Ltd",136.70,"1976 Ford Gran Torino"
"Cruz & Sons Co.",136.70,"1976 Ford Gran Torino"
"Online Diecast Creations Co.",136.67,"1958 Setra Bus"
"Danish Wholesale Imports",136.59,"1903 Ford Model A"
FunGiftIdeas.com,136.59,"1903 Ford Model A"
"Osaka Souveniers Co.",136.56,"1995 Honda Civic"
"Anna's Decorations, Ltd",136.56,"1995 Honda Civic"
"Signal Gift Stores",136.22,"1956 Porsche 356A Coupe"
"Marseille Mini Autos",136.22,"1956 Porsche 356A Coupe"
"Atelier graphique",136.00,"1917 Grand Touring Sedan"
"Saveley & Henriot, Co.",136.00,"1917 Grand Touring Sedan"
"Petit Auto",136.00,"1972 Alfa Romeo GTA"
Gifts4AllAges.com,136.00,"1972 Alfa Romeo GTA"
"Online Diecast Creations Co.",136.00,"1917 Grand Touring Sedan"
"Heintze Collectables",135.90,"1998 Chrysler Plymouth Prowler"
"Anna's Decorations, Ltd",135.63,"1948 Porsche Type 356 Roadster"
"Classic Gift Ideas, Inc",135.61,"1980s Black Hawk Helicopter"
"Diecast Classics Inc.",135.47,"1992 Ferrari 360 Spider red"
"Norway Gifts By Mail, Co.",135.47,"1992 Ferrari 360 Spider red"
"Vida Sport, Ltd",135.41,"1957 Corvette Convertible"
"Dragon Souveniers, Ltd.",135.30,"1958 Setra Bus"
"Souveniers And Things Co.",135.30,"1958 Setra Bus"
"Corrida Auto Replicas, Ltd",135.30,"1958 Setra Bus"
"Euro+ Shopping Channel",135.22,"1903 Ford Model A"
"La Corne D'abondance, Co.",135.22,"1903 Ford Model A"
"Mini Caravy",135.00,"1928 Mercedes-Benz SSK"
"The Sharp Gifts Warehouse",134.64,"1972 Alfa Romeo GTA"
"Québec Home Shopping Network",134.46,"1993 Mazda RX-7"
"Saveley & Henriot, Co.",134.44,"1962 LanciaA Delta 16V"
"Dragon Souveniers, Ltd.",134.26,"1998 Chrysler Plymouth Prowler"
"Handji Gifts& Co",134.26,"1998 Chrysler Plymouth Prowler"
"Euro+ Shopping Channel",134.22,"1948 Porsche Type 356 Roadster"
"Osaka Souveniers Co.",134.22,"1948 Porsche Type 356 Roadster"
"Microscale Inc.",134.05,"2002 Suzuki XREO"
"Rovelli Gifts",134.04,"1980s Black Hawk Helicopter"
"Auto Associés & Cie.",133.94,"1958 Setra Bus"
"Tokyo Collectables, Ltd",133.94,"1958 Setra Bus"
"Mini Gifts Distributors Ltd.",133.92,"1957 Corvette Convertible"
"Land of Toys Inc.",133.86,"1903 Ford Model A"
giftsbymail.co.uk,133.86,"1903 Ford Model A"
"Petit Auto",133.86,"1903 Ford Model A"
"Marseille Mini Autos",133.76,"1976 Ford Gran Torino"
"Euro+ Shopping Channel",133.72,"1995 Honda Civic"
"Danish Wholesale Imports",133.72,"1995 Honda Civic"
"Muscle Machine Inc",133.72,"1995 Honda Civic"
"Salzburg Collectables",133.72,"1995 Honda Civic"
"Gift Depot Inc.",133.57,"1970 Triumph Spitfire"
"Oulu Toy Supplies, Inc.",133.41,"1956 Porsche 356A Coupe"
"Collectable Mini Designs Co.",133.28,"1972 Alfa Romeo GTA"
"Mini Creations Ltd.",133.28,"1972 Alfa Romeo GTA"
"Australian Collectors, Co.",132.97,"1962 LanciaA Delta 16V"
"Diecast Classics Inc.",132.97,"1962 LanciaA Delta 16V"
"Handji Gifts& Co",132.97,"1962 LanciaA Delta 16V"
"Muscle Machine Inc",132.80,"1948 Porsche Type 356 Roadster"
"Heintze Collectables",132.80,"1948 Porsche Type 356 Roadster"
"Motor Mint Distributors Inc.",132.80,"1948 Porsche Type 356 Roadster"
"Marta's Replicas Co.",132.62,"1998 Chrysler Plymouth Prowler"
"Signal Collectibles Ltd.",132.62,"1998 Chrysler Plymouth Prowler"
"Australian Collectors, Co.",132.57,"1958 Setra Bus"
"Corporate Gift Ideas Co.",132.57,"1958 Setra Bus"
"Mini Gifts Distributors Ltd.",132.29,"1995 Honda Civic"
"Mini Gifts Distributors Ltd.",132.13,"1970 Triumph Spitfire"
"Cruz & Sons Co.",132.00,"1956 Porsche 356A Coupe"
"The Sharp Gifts Warehouse",132.00,"1999 Indy 500 Monte Carlo SS"
"Alpha Cognac",131.92,"1972 Alfa Romeo GTA"
"Classic Legends Inc.",131.92,"1972 Alfa Romeo GTA"
"L'ordine Souveniers",131.63,"1993 Mazda RX-7"
"La Rochelle Gifts",131.49,"1962 LanciaA Delta 16V"
"Technics Stores Inc.",131.49,"1962 LanciaA Delta 16V"
"Euro+ Shopping Channel",131.44,"1969 Corvair Monza"
Toys4GrownUps.com,131.39,"1948 Porsche Type 356 Roadster"
"Canadian Gift Exchange Network",131.20,"1958 Setra Bus"
"Tokyo Collectables, Ltd",131.13,"1903 Ford Model A"
"Technics Stores Inc.",131.04,"2002 Suzuki XREO"
"Lyon Souveniers",131.04,"2002 Suzuki XREO"
"Marta's Replicas Co.",131.04,"2002 Suzuki XREO"
"Corporate Gift Ideas Co.",131.04,"2002 Suzuki XREO"
"Gift Ideas Corp.",130.94,"1957 Corvette Convertible"
"Reims Collectables",130.88,"1980s Black Hawk Helicopter"
"UK Collectables, Ltd.",130.87,"1995 Honda Civic"
"Lyon Souveniers",130.87,"1995 Honda Civic"
"Herkku Gifts",130.68,"1999 Indy 500 Monte Carlo SS"
"Motor Mint Distributors Inc.",130.68,"1999 Indy 500 Monte Carlo SS"
"Men 'R' US Retailers, Ltd.",130.60,"1956 Porsche 356A Coupe"
"Mini Auto Werke",130.60,"1956 Porsche 356A Coupe"
"Royal Canadian Collectables, Ltd.",130.56,"1972 Alfa Romeo GTA"
"UK Collectables, Ltd.",130.22,"1993 Mazda RX-7"
"Volvo Model Replicas, Co",130.01,"1962 LanciaA Delta 16V"
"Marta's Replicas Co.",130.01,"1962 LanciaA Delta 16V"
"Amica Models & Co.",129.93,"1969 Corvair Monza"
"Mini Gifts Distributors Ltd.",129.76,"1903 Ford Model A"
"Heintze Collectables",129.76,"1903 Ford Model A"
"Vitachrome Inc.",129.53,"2002 Suzuki XREO"
"Tekni Collectables Inc.",129.53,"2002 Suzuki XREO"
"Herkku Gifts",129.45,"1995 Honda Civic"
"Collectable Mini Designs Co.",129.45,"1995 Honda Civic"
"Toms Spezialitäten, Ltd",129.45,"1995 Honda Civic"
"Corporate Gift Ideas Co.",129.35,"1976 Ford Gran Torino"
"Collectables For Less Inc.",129.35,"1976 Ford Gran Torino"
"Collectables For Less Inc.",129.31,"1980s Black Hawk Helicopter"
"L'ordine Souveniers",129.31,"1980s Black Hawk Helicopter"
"Heintze Collectables",129.26,"1970 Triumph Spitfire"
"Toys of Finland, Co.",129.20,"1972 Alfa Romeo GTA"
"Corporate Gift Ideas Co.",129.20,"1972 Alfa Romeo GTA"
"Men 'R' US Retailers, Ltd.",129.20,"1972 Alfa Romeo GTA"
"Toms Spezialitäten, Ltd",128.80,"1993 Mazda RX-7"
"La Corne D'abondance, Co.",128.53,"1962 LanciaA Delta 16V"
"Anna's Decorations, Ltd",128.53,"1962 LanciaA Delta 16V"
"Anna's Decorations, Ltd",128.47,"1958 Setra Bus"
"Blauer See Auto, Co.",128.42,"1969 Corvair Monza"
"Saveley & Henriot, Co.",128.42,"1969 Corvair Monza"
Gifts4AllAges.com,128.39,"1903 Ford Model A"
"Land of Toys Inc.",128.03,"2002 Suzuki XREO"
